Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.666,0.53,0.194,1.4984,0.6103,0.3131,0.4463,12
F,0.506,0.398,0.112,0.5613,0.2263,0.0917,0.1884,9
I,0.551,0.438,0.148,0.8198,0.3747,0.1423,0.2374,9
I,0.412,0.288,0.057,0.2842,0.1941,0.0379,0.0555,7
I,0.33,0.246,0.085,0.1653,0.0694,0.0392,0.0378,5
I,0.432,0.326,0.108,0.383,0.1402,0.0592,0.143,9
F,0.399,0.302,0.091,0.2408,0.1161,0.0519,0.0598,5
M,0.392,0.294,0.096,0.2832,0.095,0.0645,0.0749,8
F,0.326,0.251,0.094,0.1484,0.0776,0.0233,0.041,6
I,0.528,0.439,0.156,0.7927,0.3293,0.1811,0.2007,11
I,0.177,0.15,0.058,0.067,0.0366,0.0131,0.0192,6
I,0.434,0.288,0.097,0.2889,0.1621,0.0594,0.0687,9
M,0.607,0.476,0.125,1.1751,0.5358,0.2548,0.2904,11
I,0.542,0.424,0.135,0.8482,0.3263,0.1918,0.227,12
F,0.42,0.318,0.092,0.3207,0.1607,0.0796,0.0948,7
M,0.424,0.297,0.126,0.3976,0.1758,0.0734,0.1053,7
I,0.318,0.248,0.076,0.1096,0.0403,0.0189,0.0462,7
I,0.399,0.319,0.1,0.3018,0.0787,0.074,0.1631,11
I,0.427,0.342,0.103,0.4054,0.1696,0.0682,0.1562,9
M,0.632,0.497,0.205,1.2397,0.4796,0.2757,0.4379,12
F,0.42,0.315,0.11,0.3238,0.1453,0.0646,0.0895,8
I,0.39,0.265,0.083,0.3077,0.1788,0.0488,0.0868,6
M,0.433,0.364,0.141,0.45,0.2149,0.1113,0.1521,11
I,0.269,0.197,0.097,0.1096,0.0263,0.0307,0.0498,9
M,0.506,0.371,0.127,0.4095,0.1407,0.1326,0.1932,9
F,0.549,0.432,0.134,0.7658,0.3405,0.1776,0.1876,8
M,0.612,0.476,0.167,1.1304,0.4681,0.2286,0.3736,13
I,0.351,0.267,0.077,0.2937,0.1186,0.0439,0.0922,6
M,0.485,0.367,0.124,0.6179,0.2589,0.1067,0.1766,9
M,0.545,0.433,0.17,0.9828,0.2801,0.1806,0.3159,22
I,0.546,0.41,0.136,0.7657,0.4123,0.2094,0.1458,6
M,0.666,0.53,0.173,1.7489,0.8443,0.419,0.3539,12
M,0.593,0.475,0.177,0.9478,0.4794,0.1971,0.2536,12
F,0.526,0.407,0.141,0.6014,0.2685,0.122,0.1919,7
M,0.589,0.485,0.164,1.1801,0.4252,0.2601,0.3878,17
F,0.63,0.492,0.157,1.1434,0.5744,0.2405,0.3062,11
I,0.592,0.451,0.14,0.898,0.3816,0.1686,0.3141,13
F,0.641,0.485,0.17,1.4873,0.5539,0.3031,0.5098,11
F,0.667,0.509,0.167,1.0715,0.5766,0.1798,0.3317,7
I,0.587,0.497,0.151,1.267,0.5041,0.2363,0.3636,13
M,0.606,0.498,0.174,1.0033,0.5309,0.2743,0.2765,8
F,0.237,0.21,0.064,0.0786,0.0317,0.0164,0.0295,4
I,0.351,0.302,0.088,0.2406,0.0886,0.0546,0.0825,9
I,0.681,0.543,0.189,1.6094,0.6025,0.326,0.4624,11
F,0.524,0.394,0.123,0.7438,0.3192,0.099,0.2103,8
